STATE,TRACT,P012A002,P012A026,P012B001,P012B002,P012B026,P012C001,P012C002,P012C026,P012D001,P012D002,P012D026,P012E001,P012E002,P012E026,P012F001,P012F002,P012F026,P012G001,P012G002,P012G026,P012H001,P012H002,P012H026,P012I001,P012I002,P012I026,P013001,P013A001,P013B001,P013C001,P013D001,P013E001,P013F001,P013G001,P013H001,P013I001,state,county,tract
42,433000,199,188,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,1,3,1,2,384,198,186,39.2,39,57,0,14,0,0,21,25,39,42,003,433000
42,434000,849,990,47,30,17,7,4,3,5,2,3,0,0,0,1,0,1,18,8,10,9,4,5,1830,845,985,37.2,37,32,24,33,0,28,9,34,37,42,003,434000
42,435000,1236,1217,93,51,42,1,0,1,30,15,15,0,0,0,1,0,1,20,7,13,11,7,4,2443,1229,1214,36.1,36,21,54,29,0,20,28,35,36,42,003,435000
42,436000,367,348,4,2,2,0,0,0,1,0,1,0,0,0,0,0,0,3,1,2,1,0,1,714,367,347,46.1,46,78,0,26,0,0,5,33,46,42,003,436000
42,437000,1494,1498,26,16,10,2,1,1,46,22,24,2,0,2,3,3,0,15,7,8,14,11,3,2983,1487,1496,39.4,39,36,26,37,28,34,21,21,39,42,003,437000
42,438000,313,302,16,7,9,0,0,0,12,7,5,0,0,0,5,3,2,4,1,3,11,4,7,610,312,298,40.2,40,46,0,15,0,33,26,12,40,42,003,438000
42,439000,655,667,15,8,7,9,6,3,21,8,13,0,0,0,4,2,2,11,4,7,3,1,2,1319,654,665,43.4,44,35,38,36,0,31,7,41,44,42,003,439000
42,440000,405,550,9,5,4,0,0,0,6,2,4,0,0,0,2,2,0,9,5,4,3,1,2,953,405,548,50.3,50,48,0,44,0,65,23,39,50,42,003,440000
42,441000,469,523,32,16,16,0,0,0,11,6,5,0,0,0,1,0,1,3,3,0,10,4,6,983,465,518,45.5,45,61,0,34,0,10,28,10,45,42,003,441000
42,442000,108,119,6,4,2,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,226,108,118,38.5,38,58,39,0,0,0,35,33,38,42,003,442000
42,443000,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,76,37,39,42.5,42,0,0,0,0,0,75,0,42,42,003,443000
42,444000,262,293,9,7,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,1,553,261,292,43.8,43,43,0,0,0,10,2,25,43,42,003,444000
42,445500,1518,1924,376,174,202,5,1,4,33,18,15,1,1,0,2,1,1,43,19,24,42,21,21,3410,1502,1908,42.1,42,45,36,33,39,29,25,30,42,42,003,445500
