STATE	TRACT	COUNTY	gisjoin	fid	AREALAND	POP100	H001001	H002001	H002005	H003001	H003002	H003003	P001001	P002001	P002002	P002005	P003001	P003002	P003003	P003004	P003005	P003006	P003007	P003008	P003009	P003010	P003026	P003047	P003063	P003070	P004001	P004002	P004003	P012001	P012002	P012026	P012A001	P012A002	P012A026	P012B001	P012B002	P012B026	P012C001	P012C002	P012C026	P012D001	P012D002	P012D026	P012E001	P012E002	P012E026	P012F001	P012F002	P012F026	P012G001	P012G002	P012G026	P012H001	P012H002	P012H026	P012I001	P012I002	P012I026	P013001	P013A001	P013B001	P013C001	P013D001	P013E001	P013F001	P013G001	P013H001	P013I001
42	517000	3	42003517000	14411	2511563	1998	1077	1077	0	1077	1020	57	1998	1998	0	0	1998	1963	1586	359	6	9	0	3	35	34	0	1	0	0	1998	11	1987	1998	890	1108	1586	716	870	359	149	210	6	5	1	9	4	5	0	0	0	3	1	2	35	15	20	11	3	8	1582	715	867	46	48	33	17	27	0	28	22	25	49
42	518001	3	42003518001	14412	2528863	3558	1566	1566	0	1566	1492	74	3558	3558	0	0	3558	3536	3395	89	0	49	1	2	22	21	0	1	0	0	3558	29	3529	3558	1661	1897	3395	1586	1809	89	37	52	0	0	0	49	25	24	1	0	1	2	2	0	22	11	11	29	16	13	3375	1576	1799	44	45	32	0	29	1	30	13	32	45
42	518002	3	42003518002	14413	1509220	3273	1637	1637	0	1637	1558	79	3273	3273	0	0	3273	3246	3076	115	2	42	0	11	27	26	1	0	0	0	3273	20	3253	3273	1518	1755	3076	1423	1653	115	53	62	2	0	2	42	19	23	0	0	0	11	8	3	27	15	12	20	9	11	3062	1417	1645	42	43	31	18	33	0	3	15	37	43
42	519000	3	42003519000	14112	5686107	3566	1567	1567	0	1567	1519	48	3566	3566	0	0	3566	3541	3156	300	5	69	1	10	25	18	5	2	0	0	3566	41	3525	3566	1719	1847	3156	1505	1651	300	160	140	5	3	2	69	36	33	1	0	1	10	6	4	25	9	16	41	20	21	3123	1488	1635	47	49	42	8	40	44	26	18	47	49
42	520001	3	42003520001	14756	4048621	3402	1689	1689	0	1689	1593	96	3402	3402	0	0	3402	3368	3126	166	0	68	2	6	34	30	1	3	0	0	3402	16	3386	3402	1620	1782	3126	1483	1643	166	80	86	0	0	0	68	36	32	2	1	1	6	3	3	34	17	17	16	6	10	3115	1479	1636	50	51	39	0	33	64	46	23	47	51
42	520002	3	42003520002	14288	2743593	3515	1743	1743	0	1743	1642	101	3515	3515	0	0	3515	3481	3292	137	6	37	2	7	34	32	2	0	0	0	3515	15	3500	3515	1646	1869	3292	1539	1753	137	64	73	6	4	2	37	22	15	2	1	1	7	3	4	34	13	21	15	9	6	3283	1533	1750	42	43	28	23	29	64	17	28	18	43
42	521100	3	42003521100	13693	4702318	4768	1813	1813	0	1813	1765	48	4768	4768	0	0	4768	4673	3652	883	16	92	6	24	95	82	13	0	0	0	4768	49	4719	4768	2301	2467	3652	1751	1901	883	434	449	16	11	5	92	46	46	6	4	2	24	15	9	95	40	55	49	26	23	3621	1731	1890	41	42	39	32	39	39	12	16	30	42
42	521200	3	42003521200	14532	7285883	4498	2390	2390	0	2390	2167	223	4498	4498	0	0	4498	4440	3788	393	2	238	0	19	58	54	4	0	0	0	4498	42	4456	4498	2120	2378	3788	1780	2008	393	180	213	2	1	1	238	123	115	0	0	0	19	10	9	58	26	32	42	21	21	3758	1765	1993	39	42	31	43	29	0	30	15	31	42
42	521301	3	42003521301	14559	7727926	4118	2019	2019	0	2019	1864	155	4118	4118	0	0	4118	4048	3527	281	6	217	3	14	70	62	8	0	0	0	4118	40	4078	4118	1749	2369	3527	1481	2046	281	112	169	6	1	5	217	115	102	3	0	3	14	4	10	70	36	34	40	18	22	3505	1467	2038	44	47	24	7	31	27	17	12	24	47
42	521302	3	42003521302	15369	7972078	4291	2219	2219	0	2219	2005	214	4291	4291	0	0	4291	4258	3608	426	6	195	4	19	33	29	4	0	0	0	4291	44	4247	4291	1989	2302	3608	1669	1939	426	184	242	6	2	4	195	105	90	4	2	2	19	11	8	33	16	17	44	22	22	3583	1658	1925	40	42	34	41	29	36	25	23	22	42
